IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4802;карниз;1.50.130;Нет;ВР000001049;Интерьерный декор;карнизы;;457.00
4803;карниз;1.50.131;Нет;ВР000001081;Интерьерный декор;карнизы;;1116.00
4804;карниз;1.50.132;Нет;ВР000001050;Интерьерный декор;карнизы;;1664.00
4805;карниз;1.50.133;Нет;ВР000001076;Интерьерный декор;карнизы;;1133.00
4806;карниз;1.50.134;Нет;ВР000001051;Интерьерный декор;карнизы;;1609.00
4807;карниз;1.50.135;Нет;ВР000001303;Интерьерный декор;карнизы;;1171.00
4808;карниз;1.50.136;Нет;ВР000002167;Интерьерный декор;карнизы;;1300.00
4809;карниз;1.50.137;Нет;ВР000001827;Интерьерный декор;карнизы;;1701.00
4810;карниз;1.50.138;Нет;ВР000002343;Интерьерный декор;карнизы;;1426.00
4811;карниз;1.50.139;Нет;ВР000006023;Интерьерный декор;карнизы;;1104.00
4812;карниз;1.50.140;Нет;ВР000001052;Интерьерный декор;карнизы;;636.00
4813;карниз;1.50.141;Нет;ВР000005170;Интерьерный декор;карнизы;;636.00
4814;карниз;1.50.142;Нет;ВР000001544;Интерьерный декор;карнизы;;1426.00
4815;карниз;1.50.143;Нет;ВР000005171;Интерьерный декор;карнизы;;624.00
4816;карниз;1.50.144;Нет;ВР000005173;Интерьерный декор;карнизы;;682.00
4817;карниз;1.50.145;Нет;ВР000001586;Интерьерный декор;карнизы;;1810.00
4818;карниз;1.50.146;Нет;ВР000005175;Интерьерный декор;карнизы;;1153.00
4819;карниз;1.50.147;Нет;ВР000001182;Интерьерный декор;карнизы;;1426.00
4820;карниз;1.50.148;Нет;ВР000006025;Интерьерный декор;карнизы;;1213.00
4821;карниз;1.50.149;Нет;ВР001021963;Интерьерный декор;карнизы;;1837.00
4822;карниз;1.50.150;Нет;ВР000001054;Интерьерный декор;карнизы;;467.00
4823;карниз;1.50.151;Нет;ВР001021964;Интерьерный декор;карнизы;;1837.00
4824;карниз;1.50.152;Нет;ВР001021965;Интерьерный декор;карнизы;;1837.00
4825;карниз;1.50.153;Нет;ВР001021966;Интерьерный декор;карнизы;;1837.00
4826;карниз;1.50.154;Нет;ВР001022849;Интерьерный декор;карнизы;;426.00
4827;карниз;1.50.155;Нет;ВР001022850;Интерьерный декор;карнизы;;422.00
4828;карниз;1.50.156;Нет;ВР001022851;Интерьерный декор;карнизы;;469.00
4829;карниз;1.50.157;Нет;ВР001022852;Интерьерный декор;карнизы;;436.00
4830;карниз;1.50.158;Нет;ВР001022853;Интерьерный декор;карнизы;;440.00
4831;карниз;1.50.159;Нет;ВР001022854;Интерьерный декор;карнизы;;453.00
4832;карниз;1.50.160;Нет;ВР000001055;Интерьерный декор;карнизы;;600.00
4833;карниз;1.50.162;Нет;ВР000002855;Интерьерный декор;карнизы;;624.00
4834;карниз;1.50.163;Нет;ВР000002934;Интерьерный декор;карнизы;;1197.00
4835;карниз;1.50.164;Нет;ВР000002936;Интерьерный декор;карнизы;;1316.00
4836;карниз;1.50.165;Нет;ВР000001056;Интерьерный декор;карнизы;;626.00
4837;карниз;1.50.166;Нет;ВР000004078;Интерьерный декор;карнизы;;1269.00
4838;карниз;1.50.167;Нет;ВР000004319;Интерьерный декор;карнизы;;1287.00
4839;карниз;1.50.168;Нет;ВР000004036;Интерьерный декор;карнизы;;1287.00
4840;карниз;1.50.169;Нет;ВР000005325;Интерьерный декор;карнизы;;1213.00
4841;карниз;1.50.170;Нет;ВР000001057;Интерьерный декор;карнизы;;689.00
4842;карниз;1.50.171;Нет;ВР001022855;Интерьерный декор;карнизы;;450.00
4843;карниз;1.50.172;Нет;ВР001022856;Интерьерный декор;карнизы;;466.00
4844;карниз;1.50.173;Нет;ВР001022857;Интерьерный декор;карнизы;;469.00
4845;карниз;1.50.174;Нет;ВР001022858;Интерьерный декор;карнизы;;479.00
4846;карниз;1.50.175;Нет;ВР000001355;Интерьерный декор;карнизы;;1280.00
4847;карниз;1.50.176;Нет;ВР000005000;Интерьерный декор;карнизы;;1171.00
4848;карниз;1.50.177;Нет;ВР000006024;Интерьерный декор;карнизы;;697.00
4849;карниз;1.50.180;Нет;ВР000001451;Интерьерный декор;карнизы;;1188.00
4850;карниз;1.50.181;Нет;ВР001023412;Интерьерный декор;карнизы;;669.00
4851;карниз;1.50.182;Нет;ВР001023413;Интерьерный декор;карнизы;;657.00
4852;карниз;1.50.183;Нет;ВР001023414;Интерьерный декор;карнизы;;714.00
4853;карниз;1.50.184;Нет;ВР001023415;Интерьерный декор;карнизы;;714.00
4854;карниз;1.50.185;Нет;ВР001023416;Интерьерный декор;карнизы;;1251.00
4855;карниз;1.50.186;Нет;ВР001023417;Интерьерный декор;карнизы;;714.00
4856;карниз;1.50.187;Нет;ВР001023418;Интерьерный декор;карнизы;;634.00
4857;карниз;1.50.188;Нет;ВР001023693;Интерьерный декор;карнизы;;634.00
4858;карниз;1.50.190;Нет;ВР001024050;Интерьерный декор;карнизы;;475.00
4859;карниз;1.50.191;Нет;ВР001024053;Интерьерный декор;карнизы;;465.00
4860;карниз;1.50.192;Нет;ВР002025145;Интерьерный декор;карнизы;;646.00
4861;карниз;1.50.193;Нет;ВР002025144;Интерьерный декор;карнизы;;1141.00
4862;карниз;1.50.194;Нет;ВР002025137;Интерьерный декор;карнизы;;615.00
4863;карниз;1.50.195;Нет;ВР002025296;Интерьерный декор;карнизы;;669.00
4864;карниз;1.50.196;Нет;ВР002025293;Интерьерный декор;карнизы;;646.00
4865;карниз;1.50.197;Нет;ВР002025291;Интерьерный декор;карнизы;;714.00
4866;карниз;1.50.198;Нет;ВР002025290;Интерьерный декор;карнизы;;1141.00
4867;карниз;1.50.200;Нет;ВР002025307;Интерьерный декор;карнизы;;634.00
4868;карниз;1.50.201;Нет;ВР002025337;Интерьерный декор;карнизы;;1581.00
4869;карниз;1.50.202;Нет;ВР002025339;Интерьерный декор;карнизы;;1141.00
4870;карниз;1.50.203;Нет;ВР002025341;Интерьерный декор;карнизы;;1287.00
4871;карниз;1.50.204;Нет;ВР002025428;Интерьерный декор;карнизы;;623.00
4872;карниз;1.50.208;Нет;ВР002025426;Интерьерный декор;карнизы;;692.00
4873;карниз;1.50.209;Нет;ВР000001058;Интерьерный декор;карнизы;;1481.00
4874;карниз;1.50.210;Нет;ВР000001077;Интерьерный декор;карнизы;;1547.00
4875;карниз;1.50.211;Нет;ВР000004385;Интерьерный декор;карнизы;;1586.00
4876;карниз;1.50.212;Нет;ВР000004386;Интерьерный декор;карнизы;;1586.00
4877;карниз;1.50.220;Нет;ВР000001281;Интерьерный декор;карнизы;;1372.00
4878;карниз;1.50.221;Нет;ВР000001338;Интерьерный декор;карнизы;;1608.00
4879;карниз;1.50.222;Нет;ВР000001612;Интерьерный декор;карнизы;;1773.00
4880;карниз;1.50.250;Нет;ВР000005486;Интерьерный декор;карнизы;;1176.00
4881;карниз;1.50.251;Нет;ВР000005602;Интерьерный декор;карнизы;;448.00
4882;карниз;1.50.252;Нет;ВР000004035;Интерьерный декор;карнизы;;1353.00
4883;карниз;1.50.253;Нет;ВР000005501;Интерьерный декор;карнизы;;669.00
4884;карниз;1.50.254;Нет;ВР000005595;Интерьерный декор;карнизы;;1010.00
4885;карниз;1.50.255;Нет;ВР000005644;Интерьерный декор;карнизы;;1136.00
4886;карниз;1.50.256;Нет;ВР000005750;Интерьерный декор;карнизы;;1305.00
4887;карниз;1.50.257;Нет;ВР000005752;Интерьерный декор;карнизы;;464.00
4888;карниз;1.50.258;Нет;ВР000005754;Интерьерный декор;карнизы;;428.00
4889;карниз;1.50.259;Нет;ВР000005756;Интерьерный декор;карнизы;;613.00
4890;карниз;1.50.260;Нет;ВР000006884;Интерьерный декор;карнизы;;1584.00
4891;карниз;1.50.261;Нет;ВР001000006;Интерьерный декор;карнизы;;1174.00
4892;карниз;1.50.262;Нет;ВР001000028;Интерьерный декор;карнизы;;1318.00
4893;карниз;1.50.264;Нет;ВР001002926;Интерьерный декор;карнизы;;1616.00
4894;карниз;1.50.265;Нет;ВР001007508;Интерьерный декор;карнизы;;692.00
4895;карниз;1.50.266;Нет;ВР001007509;Интерьерный декор;карнизы;;623.00
4896;карниз;1.50.267;Нет;ВР001007510;Интерьерный декор;карнизы;;1323.00
4897;карниз;1.50.268;Нет;ВР001007511;Интерьерный декор;карнизы;;1361.00
4898;карниз;1.50.269;Нет;ВР001007512;Интерьерный декор;карнизы;;1435.00
4899;карниз;1.50.270;Нет;ВР001007513;Интерьерный декор;карнизы;;1544.00
4900;карниз;1.50.271;Нет;ВР002025312;Интерьерный декор;карнизы;;1978.00
4901;карниз;1.50.273;Нет;ВР002025512;Интерьерный декор;карнизы;;2279.00
4902;карниз FLEX;1.50.114;Да;ВР000005865;Интерьерный декор;гибкие карнизы;;1228.00
4903;карниз FLEX;1.50.115;Да;ВР000005846;Интерьерный декор;гибкие карнизы;;990.00
4904;карниз FLEX;1.50.116;Да;ВР000005863;Интерьерный декор;гибкие карнизы;;2501.00
4905;карниз FLEX;1.50.117;Да;ВР000005856;Интерьерный декор;гибкие карнизы;;2632.00
4906;карниз FLEX;1.50.118;Да;ВР000005875;Интерьерный декор;гибкие карнизы;;2778.00
4907;карниз FLEX;1.50.119;Да;ВР000005873;Интерьерный декор;гибкие карнизы;;1363.00
4908;карниз FLEX;1.50.120;Да;ВР000005874;Интерьерный декор;гибкие карнизы;;2852.00
4909;карниз FLEX;1.50.121;Да;ВР000005853;Интерьерный декор;гибкие карнизы;;1337.00
4910;карниз FLEX;1.50.122;Да;ВР000005847;Интерьерный декор;гибкие карнизы;;875.00
4911;карниз FLEX;1.50.100;Да;ВР000005843;Интерьерный декор;гибкие карнизы;;1230.00
4912;карниз FLEX;1.50.102;Да;ВР000005914;Интерьерный декор;гибкие карнизы;;973.00
4913;карниз FLEX;1.50.103;Да;ВР000005908;Интерьерный декор;гибкие карнизы;;981.00
4914;карниз FLEX;1.50.104;Да;ВР000005862;Интерьерный декор;гибкие карнизы;;2435.00
4915;карниз FLEX;1.50.105;Да;ВР000005897;Интерьерный декор;гибкие карнизы;;1198.00
4916;карниз FLEX;1.50.106;Да;ВР000006081;Интерьерный декор;гибкие карнизы;;1292.00
4917;карниз FLEX;1.50.107;Да;ВР000005909;Интерьерный декор;гибкие карнизы;;2559.00
4918;карниз FLEX;1.50.109;Да;ВР000005883;Интерьерный декор;гибкие карнизы;;2778.00
4919;карниз FLEX;1.50.110;Да;ВР000005887;Интерьерный декор;гибкие карнизы;;3144.00
4920;карниз FLEX;1.50.111;Да;ВР000005864;Интерьерный декор;гибкие карнизы;;2572.00
4921;карниз FLEX;1.50.112;Да;ВР000005861;Интерьерный декор;гибкие карнизы;;1274.00
4922;карниз FLEX;1.50.113;Да;ВР000005851;Интерьерный декор;гибкие карнизы;;1350.00
4923;карниз FLEX;1.50.123;Да;ВР000005872;Интерьерный декор;гибкие карнизы;;906.00
4924;карниз FLEX;1.50.124;Да;ВР000005877;Интерьерный декор;гибкие карнизы;;2321.00
4925;карниз FLEX;1.50.125;Да;ВР000005878;Интерьерный декор;гибкие карнизы;;1905.00
4926;карниз FLEX;1.50.126;Да;ВР000005907;Интерьерный декор;гибкие карнизы;;1335.00
4927;карниз FLEX;1.50.127;Да;ВР000005882;Интерьерный декор;гибкие карнизы;;1292.00
4928;карниз FLEX;1.50.128;Да;ВР000005880;Интерьерный декор;гибкие карнизы;;2266.00
4929;карниз FLEX;1.50.129;Да;ВР000005913;Интерьерный декор;гибкие карнизы;;1305.00
4930;карниз FLEX;1.50.130;Да;ВР000005845;Интерьерный декор;гибкие карнизы;;915.00
4931;карниз FLEX;1.50.131;Да;ВР000005854;Интерьерный декор;гибкие карнизы;;2229.00
4932;карниз FLEX;1.50.132;Да;ВР000005858;Интерьерный декор;гибкие карнизы;;3326.00
4933;карниз FLEX;1.50.133;Да;ВР000005855;Интерьерный декор;гибкие карнизы;;2266.00
4934;карниз FLEX;1.50.134;Да;ВР000005857;Интерьерный декор;гибкие карнизы;;3217.00
4935;карниз FLEX;1.50.135;Да;ВР000005871;Интерьерный декор;гибкие карнизы;;2341.00
4936;карниз FLEX;1.50.136;Да;ВР000005879;Интерьерный декор;гибкие карнизы;;2596.00
4937;карниз FLEX;1.50.137;Да;ВР000005876;Интерьерный декор;гибкие карнизы;;3399.00
4938;карниз FLEX;1.50.138;Да;ВР000005881;Интерьерный декор;гибкие карнизы;;2852.00
4939;карниз FLEX;1.50.139;Да;ВР000006252;Интерьерный декор;гибкие карнизы;;2206.00
4940;карниз FLEX;1.50.140;Да;ВР000005848;Интерьерный декор;гибкие карнизы;;1270.00
4941;карниз FLEX;1.50.141;Да;ВР000005911;Интерьерный декор;гибкие карнизы;;1270.00
4942;карниз FLEX;1.50.142;Да;ВР000005890;Интерьерный декор;гибкие карнизы;;2852.00
4943;карниз FLEX;1.50.143;Да;ВР000006083;Интерьерный декор;гибкие карнизы;;1247.00
4944;карниз FLEX;1.50.144;Да;ВР000005898;Интерьерный декор;гибкие карнизы;;1363.00
4945;карниз FLEX;1.50.145;Да;ВР000005891;Интерьерный декор;гибкие карнизы;;3618.00
4946;карниз FLEX;1.50.146;Да;ВР000005915;Интерьерный декор;гибкие карнизы;;2304.00
4947;карниз FLEX;1.50.147;Да;ВР000005892;Интерьерный декор;гибкие карнизы;;2852.00
4948;карниз FLEX;1.50.148;Да;ВР000006277;Интерьерный декор;гибкие карнизы;;2424.00
4949;карниз FLEX;1.50.149;Да;ВР001022450;Интерьерный декор;гибкие карнизы;;3674.00
4950;карниз FLEX;1.50.150;Да;ВР000005844;Интерьерный декор;гибкие карнизы;;932.00
4951;карниз FLEX;1.50.151;Да;ВР001022119;Интерьерный декор;гибкие карнизы;;3674.00
4952;карниз FLEX;1.50.152;Да;ВР001022120;Интерьерный декор;гибкие карнизы;;3674.00
4953;карниз FLEX;1.50.153;Да;ВР001022121;Интерьерный декор;гибкие карнизы;;3674.00
4954;карниз FLEX;1.50.154;Да;ВР001022868;Интерьерный декор;гибкие карнизы;;851.00
4955;карниз FLEX;1.50.155;Да;ВР001022867;Интерьерный декор;гибкие карнизы;;843.00
4956;карниз FLEX;1.50.156;Да;ВР001022866;Интерьерный декор;гибкие карнизы;;938.00
4957;карниз FLEX;1.50.157;Да;ВР001022865;Интерьерный декор;гибкие карнизы;;872.00
4958;карниз FLEX;1.50.158;Да;ВР001022864;Интерьерный декор;гибкие карнизы;;879.00
4959;карниз FLEX;1.50.159;Да;ВР001022863;Интерьерный декор;гибкие карнизы;;904.00
4960;карниз FLEX;1.50.160;Да;ВР000005849;Интерьерный декор;гибкие карнизы;;1198.00
4961;карниз FLEX;1.50.162;Да;ВР000005884;Интерьерный декор;гибкие карнизы;;1247.00
4962;карниз FLEX;1.50.163;Да;ВР000005889;Интерьерный декор;гибкие карнизы;;2394.00
4963;карниз FLEX;1.50.164;Да;ВР000005886;Интерьерный декор;гибкие карнизы;;2632.00
4964;карниз FLEX;1.50.165;Да;ВР000005850;Интерьерный декор;гибкие карнизы;;1252.00
4965;карниз FLEX;1.50.166;Да;ВР000005888;Интерьерный декор;гибкие карнизы;;2538.00
4966;карниз FLEX;1.50.168;Да;ВР000005893;Интерьерный декор;гибкие карнизы;;2572.00
4967;карниз FLEX;1.50.169;Да;ВР000006092;Интерьерный декор;гибкие карнизы;;2424.00
4968;карниз FLEX;1.50.170;Да;ВР000005852;Интерьерный декор;гибкие карнизы;;1377.00
4969;карниз FLEX;1.50.171;Да;ВР001022862;Интерьерный декор;гибкие карнизы;;899.00
4970;карниз FLEX;1.50.172;Да;ВР001022861;Интерьерный декор;гибкие карнизы;;930.00
4971;карниз FLEX;1.50.173;Да;ВР001022860;Интерьерный декор;гибкие карнизы;;938.00
4972;карниз FLEX;1.50.174;Да;ВР001022859;Интерьерный декор;гибкие карнизы;;956.00
4973;карниз FLEX;1.50.175;Да;ВР000005868;Интерьерный декор;гибкие карнизы;;2559.00
4974;карниз FLEX;1.50.176;Да;ВР000005910;Интерьерный декор;гибкие карнизы;;2341.00
4975;карниз FLEX;1.50.177;Да;ВР000006276;Интерьерный декор;гибкие карнизы;;1394.00
4976;карниз FLEX;1.50.180;Да;ВР000005866;Интерьерный декор;гибкие карнизы;;2375.00
4977;карниз FLEX;1.50.181;Да;ВР001023419;Интерьерный декор;гибкие карнизы;;1337.00
4978;карниз FLEX;1.50.182;Да;ВР001023420;Интерьерный декор;гибкие карнизы;;1313.00
4979;карниз FLEX;1.50.183;Да;ВР001023421;Интерьерный декор;гибкие карнизы;;1428.00
4980;карниз FLEX;1.50.184;Да;ВР001023422;Интерьерный декор;гибкие карнизы;;1428.00
4981;карниз FLEX;1.50.185;Да;ВР001023423;Интерьерный декор;гибкие карнизы;;2501.00
4982;карниз FLEX;1.50.186;Да;ВР001023424;Интерьерный декор;гибкие карнизы;;1428.00
4983;карниз FLEX;1.50.187;Да;ВР001023425;Интерьерный декор;гибкие карнизы;;1267.00
4984;карниз FLEX;1.50.188;Да;ВР001023694;Интерьерный декор;гибкие карнизы;;1267.00
4985;карниз FLEX;1.50.190;Да;ВР001024051;Интерьерный декор;гибкие карнизы;;948.00
4986;карниз FLEX;1.50.191;Да;ВР001024052;Интерьерный декор;гибкие карнизы;;928.00
4987;карниз FLEX;1.50.192;Да;ВР002025146;Интерьерный декор;гибкие карнизы;;1291.00
4988;карниз FLEX;1.50.193;Да;ВР002025143;Интерьерный декор;гибкие карнизы;;2281.00
4989;карниз FLEX;1.50.194;Да;ВР002025138;Интерьерный декор;гибкие карнизы;;1230.00
4990;карниз FLEX;1.50.195;Да;ВР002025295;Интерьерный декор;гибкие карнизы;;1337.00
4991;карниз FLEX;1.50.197;Да;ВР002025292;Интерьерный декор;гибкие карнизы;;1428.00
4992;карниз FLEX;1.50.200;Да;ВР002025311;Интерьерный декор;гибкие карнизы;;1267.00
4993;карниз FLEX;1.50.202;Да;ВР002025340;Интерьерный декор;гибкие карнизы;;2281.00
4994;карниз FLEX;1.50.203;Да;ВР002025342;Интерьерный декор;гибкие карнизы;;2573.00
4995;карниз FLEX;1.50.209;Да;ВР000005859;Интерьерный декор;гибкие карнизы;;2961.00
4996;карниз FLEX;1.50.210;Да;ВР000005860;Интерьерный декор;гибкие карнизы;;3094.00
4997;карниз FLEX;1.50.220;Да;ВР000005867;Интерьерный декор;гибкие карнизы;;2743.00
4998;карниз FLEX;1.50.221;Да;ВР000005869;Интерьерный декор;гибкие карнизы;;3214.00
4999;карниз FLEX;1.50.222;Да;ВР000005870;Интерьерный декор;гибкие карнизы;;3544.00
5000;карниз FLEX;1.50.250;Да;ВР000005895;Интерьерный декор;гибкие карнизы;;2352.00
5001;карниз FLEX;1.50.251;Да;ВР000005900;Интерьерный декор;гибкие карнизы;;895.00
5002;карниз FLEX;1.50.252;Да;ВР000005885;Интерьерный декор;гибкие карнизы;;2705.00
5003;карниз FLEX;1.50.253;Да;ВР000005896;Интерьерный декор;гибкие карнизы;;1337.00
5004;карниз FLEX;1.50.254;Да;ВР000005899;Интерьерный декор;гибкие карнизы;;2019.00
5005;карниз FLEX;1.50.255;Да;ВР000005901;Интерьерный декор;гибкие карнизы;;2272.00
5006;карниз FLEX;1.50.256;Да;ВР000005902;Интерьерный декор;гибкие карнизы;;2610.00
5007;карниз FLEX;1.50.257;Да;ВР000005903;Интерьерный декор;гибкие карнизы;;924.00
5008;карниз FLEX;1.50.258;Да;ВР000005904;Интерьерный декор;гибкие карнизы;;855.00
5009;карниз FLEX;1.50.259;Да;ВР000005905;Интерьерный декор;гибкие карнизы;;1226.00
5010;карниз FLEX;1.50.260;Да;ВР001002940;Интерьерный декор;гибкие карнизы;;3168.00
5011;карниз FLEX;1.50.261;Да;ВР001002929;Интерьерный декор;гибкие карнизы;;2348.00
5012;карниз FLEX;1.50.262;Да;ВР001002939;Интерьерный декор;гибкие карнизы;;2636.00
5013;карниз FLEX;1.50.264;Да;ВР001002938;Интерьерный декор;гибкие карнизы;;3233.00
5014;карниз FLEX;1.50.265;Да;ВР001008167;Интерьерный декор;гибкие карнизы;;1383.00
5015;карниз FLEX;1.50.266;Да;ВР001008165;Интерьерный декор;гибкие карнизы;;1243.00
5016;карниз FLEX;1.50.267;Да;ВР001008162;Интерьерный декор;гибкие карнизы;;2645.00
5017;карниз FLEX;1.50.268;Да;ВР001008163;Интерьерный декор;гибкие карнизы;;2721.00
5018;карниз FLEX;1.50.269;Да;ВР001008164;Интерьерный декор;гибкие карнизы;;2867.00
5019;карниз FLEX;1.50.270;Да;ВР001008166;Интерьерный декор;гибкие карнизы;;3086.00
5020;молдинг;1.51.311;Нет;ВР000001522;Интерьерный декор;молдинги;;888.00
5021;молдинг;1.51.314;Нет;ВР000001642;Интерьерный декор;молдинги;;537.00
5022;молдинг;1.51.327;Нет;ВР000004028;Интерьерный декор;молдинги;;733.00
5023;молдинг;1.51.301;Нет;ВР000001059;Интерьерный декор;молдинги;;508.00
5024;молдинг;1.51.305;Нет;ВР000001062;Интерьерный декор;молдинги;;442.00
5025;молдинг;1.51.321;Нет;ВР000005725;Интерьерный декор;молдинги;;416.00
5026;молдинг;1.51.400;Нет;ВР000005827;Интерьерный декор;молдинги;;444.00
5027;молдинг;1.51.302;Нет;ВР000001060;Интерьерный декор;молдинги;;568.00
5028;молдинг;1.51.303;Нет;ВР000001061;Интерьерный декор;молдинги;;576.00
5029;молдинг;1.51.304;Нет;ВР000001167;Интерьерный декор;молдинги;;548.00
5030;молдинг;1.51.306;Нет;ВР000001064;Интерьерный декор;молдинги;;454.00
5031;молдинг;1.51.307;Нет;ВР000001065;Интерьерный декор;молдинги;;860.00
5032;молдинг;1.51.324;Нет;ВР000002932;Интерьерный декор;молдинги;;416.00
5033;молдинг;1.51.352;Нет;ВР000005503;Интерьерный декор;молдинги;;514.00
5034;молдинг;1.51.325;Нет;ВР000002935;Интерьерный декор;молдинги;;917.00
5035;молдинг;1.51.312;Нет;ВР000001595;Интерьерный декор;молдинги;;506.00
5036;молдинг;1.51.332;Нет;ВР001023823;Интерьерный декор;молдинги;;680.00
5037;молдинг;1.51.350;Нет;ВР000005488;Интерьерный декор;молдинги;;923.00
5038;молдинг;1.51.326;Нет;ВР000004305;Интерьерный декор;молдинги;;530.00
5039;молдинг;1.51.308;Нет;ВР000001175;Интерьерный декор;молдинги;;506.00
5040;молдинг;1.51.309;Нет;ВР000001170;Интерьерный декор;молдинги;;723.00
5041;молдинг;1.51.310;Нет;ВР000001183;Интерьерный декор;молдинги;;860.00
5042;молдинг;1.51.313;Нет;ВР000004235;Интерьерный декор;молдинги;;537.00
5043;молдинг;1.51.315;Нет;ВР000001942;Интерьерный декор;молдинги;;556.00
5044;молдинг;1.51.316;Нет;ВР000002045;Интерьерный декор;молдинги;;514.00
5045;молдинг;1.51.317;Нет;ВР000002067;Интерьерный декор;молдинги;;814.00
5046;молдинг;1.51.318;Нет;ВР000002158;Интерьерный декор;молдинги;;576.00
5047;молдинг;1.51.319;Нет;ВР000002566;Интерьерный декор;молдинги;;931.00
5048;молдинг;1.51.320;Нет;ВР000002330;Интерьерный декор;молдинги;;888.00
5049;молдинг;1.51.322;Нет;ВР001022869;Интерьерный декор;молдинги;;424.00
5050;молдинг;1.51.328;Нет;ВР000005631;Интерьерный декор;молдинги;;530.00
5051;молдинг;1.51.330;Нет;ВР000004389;Интерьерный декор;молдинги;;559.00
5052;молдинг;1.51.333;Нет;ВР000004893;Интерьерный декор;молдинги;;548.00
5053;молдинг;1.51.340;Нет;ВР000002481;Интерьерный декор;молдинги;;524.00
5054;молдинг;1.51.341;Нет;ВР001007514;Интерьерный декор;молдинги;;734.00
5055;молдинг;1.51.342;Нет;ВР001007515;Интерьерный декор;молдинги;;734.00
5056;молдинг;1.51.343;Нет;ВР001007516;Интерьерный декор;молдинги;;680.00
5057;молдинг;1.51.344;Нет;ВР001007518;Интерьерный декор;молдинги;;734.00
5058;молдинг;1.51.351;Нет;ВР000005561;Интерьерный декор;молдинги;;545.00
5059;молдинг;1.51.380;Нет;ВР000004027;Интерьерный декор;молдинги;;1223.00
5060;молдинг;1.51.401;Нет;ВР000005728;Интерьерный декор;молдинги;;418.00
5061;молдинг;1.51.323;Нет;ВР001022870;Интерьерный декор;молдинги;;431.00
5062;молдинг;1.51.339;Нет;ВР001023833;Интерьерный декор;молдинги;;695.00
5063;молдинг;1.51.331;Нет;ВР001023821;Интерьерный декор;молдинги;;656.00
5064;молдинг;1.51.336;Нет;ВР001023829;Интерьерный декор;молдинги;;680.00
5065;молдинг;1.51.334;Нет;ВР001023825;Интерьерный декор;молдинги;;515.00
5066;молдинг;1.51.335;Нет;ВР001023827;Интерьерный декор;молдинги;;568.00
5067;молдинг;1.51.337;Нет;ВР001023831;Интерьерный декор;молдинги;;801.00
5068;молдинг;1.51.348;Нет;ВР002025333;Интерьерный декор;молдинги;;537.00
5069;молдинг;1.51.349;Нет;ВР002025335;Интерьерный декор;молдинги;;902.00
5070;молдинг;1.51.329;Нет;ВР001023819;Интерьерный декор;молдинги;;440.00
